Name,Type,Sector,Country,"Year Founded","Number of Employees",Website,"Phone Number"
"40 South Energy","Technology Developer","Marine Energy,Renewable Energy",Italy,2008,,http://www.40southenergy.it,"(+44) 20 7016 7822"
"48 North Solutions",,"Marine Energy,Renewable Energy","United States",2014,2-10,http://www.48northsolutions.com/,"(206) 714-5474"
"4c Engineering Consultancy","Project Manager,Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2002,2-10,http://www.4cengineering.co.uk/,"01463 227 565"
"ANDRITZ Hydro","Technology Developer","Hydropower,Marine Energy,Renewable Energy",Austria,1997,2-10,https://www.andritz.com/hydro-en,"0141 585 6447"
"ATA Engineering","Technology Developer","Marine Energy,Renewable Energy","United States",2000,51-200,http://www.ata-e.com/,858.480.2000
AW-Energy,"Technology Developer","Marine Energy,Renewable Energy",Finland,2002,11-50,http://aw-energy.com/,
"AWS Ocean Energy Ltd","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2004,11-50,http://www.awsocean.com/,"+44 (0) 1463 725410"
"Abengoa Seapower","Energy Generation Organizations,Project Manager,Technology Developer","Renewable Energy,Biomass,Hydrogen,Marine Energy,Solar,Transmission,Wind energy",Spain,1941,"10,001+",http://www.abengoa.com/web/en/,"(+34) 954 93 70 00"
"Able Technologies LLC","Technology Developer","Marine Energy,Renewable Energy","United States",2005,,http://www.abletechnologiesllc.com,"201 569 7292"
"Accumulated Ocean Energy Inc",,PRIMRE,Canada,2013,2-10,http://www.aoecanada.ca/public_html/,
"Advanced Hydrokinetics","Technology Developer","Marine Energy,Renewable Energy","United States",2015,,https://advancedhydroenergy.com/,
"AeroVironment Inc","Technology Developer","Marine Energy,Renewable Energy","United States",1971,501-1000,https://www.avinc.com/,703.418.2828
"Akuo Energy","Project Manager,Technology Developer","Biomass,Hydropower,Renewable Energy,Solar,Wind energy,Marine Energy",France,2007,,https://www.akuoenergy.com/,"01 47 66 09 90"
"Alaska Center for Energy and Power","Academic Institutions","Marine Energy,Renewable Energy","United States",2008,,https://acep.uaf.edu/,
"Albatern Ltd","Technology Developer","Renewable Energy,Marine Energy","United Kingdom",2010,11-50,https://www.linkedin.com/company/albatern/about/,0131-440-9025
Alcan,"Technology Developer","Marine Energy",Canada,,,https://www.osti.gov/biblio/5407522,
Allseas,,PRIMRE,Netherlands,2009,11-50,http://www.bluerise.nl/,"+31 (0) 85 1300525"
Alstom,"Energy Distribution Organizations,Energy Generation Organizations,Technology Developer","Hydropower,Nuclear,Renewable Energy,Transmission,Wind energy,Marine Energy",France,2006,"12,001+",http://www.alstom.com/usa/,"+ 33 (0)1 57 06 90 00"
"Alternative Energy Engineering Associates LLP","Technology Developer","Marine Energy,Renewable Energy","United States",2006,2-10,https://www.navair.navy.mil/osbp/node/631,5207979663
"Altum Green Energy","Technology Developer","Hydropower,Marine Energy","United States",2012,10,https://altumgreenenergy.com,979-575-1425
"Applied Technologies Company Ltd","Technology Developer","Marine Energy,Renewable Energy,Hydropower",Russia,1991,11-50,http://www.atecom.ru,"+7 (499) 125 2225"
"Aqua Power Technologies","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2012,,http://aquapowertech.com/,"0044 (0)15392 67855 "
"Aqua-Auger International Inc","Technology Developer","Marine Energy,Renewable Energy","United States",,2-10,http://aqua-auger.com/,"(877) 441-8368"
"Aqua-Magnetics Inc","Technology Developer","Marine Energy,Renewable Energy","United States",1972,2-10,http://amioceanpower.com/home.html,321-773-3195
Aqua-Shift,"Technology Developer","Renewable Energy,Marine Energy","United States",2015,2-10,,
AquaEnergy,"Technology Developer","Marine Energy,Renewable Energy","United States",2001,,http://www.aquaenergy.com/,
"AquaGen Technologies","Technology Developer","Marine Energy,Renewable Energy",Australia,2007,2-10,https://www.crunchbase.com/organization/aquagen-technologies,61397649800
AquaHarmonics,"Technology Developer","Marine Energy,Renewable Energy","United States",2015,2-10,https://aquaharmonics.com/,
"AquaRing Energy","Technology Developer","Marine Energy,Renewable Energy","United States",2018,2-10,https://www.crunchbase.com/organization/aquaring-energy,
"Aquamarine Power","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2005,,https://www.emec.org.uk/about-us/wave-clients/aquamarine-power/,"+44 131 524 1440"
"Aquantis Inc","Technology Developer","Marine Energy,Renewable Energy","United States",2011,2-10,http://www.aquantistech.com,"(+1) 805-845-7575"
"Aquatera Ltd","Project Manager,Technology Developer","Marine Energy,Renewable Energy,Hydrogen,Wind energy","United Kingdom",2000,11-50,https://www.aquatera.co.uk/,"+44 (0) 1856 850 088"
"Arrecife Energy Systems","Technology Developer","Marine Energy,Renewable Energy",Spain,2016,2-10,https://www.arrecifesystems.com/,"+34 679 711 713"
"Atargis Energy Corporation","Technology Developer","Marine Energy,Renewable Energy","United States",2008,2-10,http://www.atargis.com/,"+1 (719) 214-8815"
"Atlantic Wavepower Partnership","Technology Developer","Renewable Energy,Marine Energy","United States",2015,,https://www.offshore-energy.biz/awp-backs-out-of-wave-energy-prize/,
"Atlantisstrom GmbH & CoKG","Technology Developer","Marine Energy,Renewable Energy",Germany,,<25,https://tracxn.com/d/companies/atlantisstrom/__-nZSo_NJ8pRC-m6Q1Zzx8Tv2p9kU3Qp88QMYddhwpno,(+49)-05361-864475
"Atlas Ocean Systems","Technology Developer","Marine Energy,Renewable Energy","United States",2015,2-10,https://tracxn.com/d/companies/atlas-ocean-systems/__KLysBm7aGyJvgycqBLwmUfpwr7zxjkNCh1V1McEmosQ,
Atmocean,"Technology Developer","Marine Energy,Renewable Energy","United States",2006,2-10,https://atmocean.com/,"(505) 310-2294"
"Australian Marine Offshore Group","Technology Developer","Hydrogen,Marine Energy,Renewable Energy,Services,Solar,Wind energy",Australia,1991,51-200,https://amog.consulting/renewable-energy/amog-wave-energy-device,"+61 3 9542 3700"
"Australian Renewable Energy Agency",,"Hydrogen,Marine Energy,Renewable Energy,Solar,Vehicles,Wind energy",Australia,2012,,https://arena.gov.au/,
"Avium AS","Technology Developer","Marine Energy,Renewable Energy",Turkey,2007,,https://tracxn.com/d/companies/avium.com.tr,
