Name,Website,"Project Description","Project Manager","Project Status",Resource,"Start Year","End Year","Project Connectivity","Capacity MW","Project Scale","Project Life Cycle",Devices,"Number of Devices",Waterbody,"Site Characteristics",Country
"PRIMRE/Databases/Projects Database/Projects/3MW Lanzarote Wave Park",https://bomborawave.com/latest-news/enzen-selects-bombora-for-lanzarote-wave-energy-farm/,,"Enzen Global Limited",Active,Wave,Planned,,"Grid Connected",4,"Single Device",Planned,"Bombora mWave",1,"La Santa coast, Lanzarote, Canary Islands, Spain",Coastal,Spain
"PRIMRE/Databases/Projects Database/Projects/AOE Sooke Basin Test",https://www.offshore-energy.biz/canada-aoes-test-buoy-captures-ocean-energy-in-sooke-basin/,,"Accumulated Ocean Energy Inc",Inactive,Wave,2013,,"Not Grid Connected",,"Single Device",Completed,"Pneumatic Wave Energy Converter pWEC",1,"Sooke Basin, British Columbia, Canada","Enclosed Bay",Canada
"PRIMRE/Databases/Projects Database/Projects/Admiralty Inlet",https://www.snopud.com/community-environment/our-energy-future/projects/research/tidal-energy/tidal-project-overview/,,"Snohomish County PUD No 1",Inactive,Tidal,Canceled,,"Grid Connected",1,Sub-scale,Canceled,"Open Centre Turbine",2,"Puget Sound - Admiralty Inlet","Constricted Channel","United States"
"PRIMRE/Databases/Projects Database/Projects/Advanced Archimedes Waveswing",https://www.waveenergyscotland.co.uk/programmes/details/novel-wave-energy-converter/advanced-archimedes-waveswing/,,"Wave Energy Scotland,AWS Ocean Energy Ltd,4c Engineering Consultancy,Quoceant",Active,Wave,2022,,"Not Grid Connected",0.015,"Single Device",Operational,"Archimedes Waveswing",1,"Scapa Flow, Orkney","Enclosed Bay","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Afsluitdijk T-1 Demonstration",https://www.tocardo.com/contract-t-1-turbines-news-subhub/,,"Tocardo International BV",Inactive,Tidal,2015,2019,"Grid Connected",0.3,Array,Decommissioned,"Tocardo International T1 Turbine",3,"Afsluitdijk Sluice","Enclosed Bay",Netherlands
"PRIMRE/Databases/Projects Database/Projects/Afsluitdijk T-1 Test",https://www.tocardo.com/about/history/,,"Tocardo International BV",Inactive,Tidal,2008,2012,"Grid Connected",0.1,"Single Device",Decommissioned,"Tocardo International T1 Turbine",1,"Afsluitdijk Sluice","Enclosed Bay",Netherlands
"PRIMRE/Databases/Projects Database/Projects/Agulhas Current HAE",http://haeturbines.com/current/,,"Hydro Alternative Energy Inc",Inactive,"Ocean Current",Canceled,,"Grid Connected",,"Single Device",Canceled,,1,"Agulhas Current, eThekwini Municipality, South Africa",,"South Africa"
"PRIMRE/Databases/Projects Database/Projects/Albany Wave Energy Project AWEP",https://www.offshore-energy.biz/carnegie-starts-albany-wave-energy-project/,,"Carnegie Clean Energy",Inactive,Wave,Canceled,,,20,"Single Device",Canceled,"Carnegie Clean Energy CETO 6",1,"Indian Ocean, Albany, Western Australia","Open Ocean",Australia
"PRIMRE/Databases/Projects Database/Projects/AltaSea Eco Wave Power",https://www.ecowavepower.com/eco-wave-powers-innovative-wave-energy-pilot-is-on-way-to-altasea-at-the-port-of-los-angeles/,,"Eco Wave Power",Active,Wave,Planned,,"Grid Connected",0.1,"Single Device",Planned,"Eco Wave Power Wave Clapper",1,"Port of Los Angeles, United States",Coastal,"United States"
"PRIMRE/Databases/Projects Database/Projects/Anaconda Novel WEC",https://www.waveenergyscotland.co.uk/programmes/details/novel-wave-energy-converter/anaconda-novel-wave-energy-converter/,,"Checkmate Seaenergy,Wave Energy Scotland,Tension Technology International,Quoceant,Black and Veatch",Active,Wave,Planned,,,,"Single Device",Planned,Anaconda,1,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Argyll Tidal Demonstrator Project",https://www.hvnplus.co.uk/news/nautricity-to-lead-tidal-power-revolution-30-08-2012/,,Nautricity,Inactive,Tidal,Canceled,,"Grid Connected",0.5,"Single Device",Canceled,"Nautricity CoRMaT",1,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Attenuator Cost of Energy Reduction",https://www.waveenergyscotland.co.uk/programmes/details/novel-wave-energy-converter/attenuator-cost-of-energy-reduction-acer/,,"Wave Energy Scotland,4c Engineering Consultancy,Sea Power Ltd,Offshore Subsea Consultancy Services",Inactive,Wave,2016,2018,,,"Single Device",Completed,Seapower,1,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Automatically Inflatable and Stowable Volume",https://www.waveenergyscotland.co.uk/programmes/details/novel-wave-energy-converter/aisv-automatically-inflatable-and-stowable-volume-for-step-reduction-in-wec-cost-of-energy/,,"Quoceant,Wave Energy Scotland,European Marine Energy Centre Ltd",Inactive,Wave,2016,,,,"Single Device",Completed,,,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Barbados Wave Energy Farm",https://www.maritimeeconomy.com/post-details.php?post_id=aGdobg==&post_name=Wello%20and%20BIDC%20sign%20commercial%20agreement%20%20for%20deployment%20of%20a%205%20MW%20wave%20energy%20farm%20in%20Barbados&segment_name=Ocean%20%20Offshore%20Energy,,"Wello Oy",Inactive,Wave,Canceled,,"Grid Connected",5,Array,Canceled,"Wello Oy Penguin",,"Consett Bay, Barbados",Coastal,Barbados
"PRIMRE/Databases/Projects Database/Projects/Bardsey Sound Tidal Array",https://www.marineenergywales.co.uk/u-k-news/nova-innovation-mothball-enlli-tidal-project/,,"Nova Innovation Ltd",Inactive,Tidal,2017,,"Grid Connected",0.5,Array,Canceled,"Nova 30",5,"Bardsey Sound, Irish Sea","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Bermuda Seabased Power Park",https://seabased.com/news-insights/bermuda-seabased-agreement-40mw-power-park,,"Seabased AB",Active,Wave,Planned,,"Grid Connected",40,Array,Planned,"Seabased WEC",20,"Bermuda Islands",Coastal,Bermuda
"PRIMRE/Databases/Projects Database/Projects/Bernera",https://www.offshorewind.biz/2011/10/12/pelamis-wave-power%E2%80%8B-gets-green-light-for-western-isles%E2%80%99-first-wave-farm-uk/,,"Pelamis Wave Power",Inactive,Wave,Canceled,,"Grid Connected",10,Array,Canceled,"P2,Pelamis P2",10,"Outer Hebrides, United Kingdom",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Blue Shark Power China 1",https://bluesharkpower.eu/stock-exchange/,,"Blue Shark Power System",Inactive,Tidal,2019,2019,,0.3,"Single Device",Completed,"Blue Shark",1,"Xiushan Island, Zhejiang Province, China","Constricted Channel",China
"PRIMRE/Databases/Projects Database/Projects/Blue Shark Power Djibouti 1",https://www.offshore-energy.biz/blue-shark-power-system-unveils-djibouti-tidal-energy-plans/,,"Blue Shark Power System",Inactive,Tidal,Canceled,,,0.5,"Single Device",Canceled,"Blue Shark",1,,,Djibouti
"PRIMRE/Databases/Projects Database/Projects/Blue Shark Power Djibouti 2",https://www.offshore-energy.biz/blue-shark-inks-djibouti-tidal-power-deal/,,"Blue Shark Power System",Inactive,"Tidal,Riverine",Canceled,,,120,Array,Canceled,"Blue Shark",495,,,Djibouti
"PRIMRE/Databases/Projects Database/Projects/Bluemull Sound",https://www.novainnovation.com/about-nova/nova-innovation/,,"Nova Innovation Ltd",Active,Tidal,2016,,"Grid Connected",0.6,Array,Operational,"Nova 30,Nova M100",6,"Bluemull Sound, Shetland","Constricted Channel","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Bonnybrook",https://www.newenergycorp.ca/bonnybrook,,"New Energy Corporation",Inactive,Tidal,2006,,,0.25,"Single Device",Completed,,1,"Calgary, Alberta, Canada","Constricted Channel",Canada
"PRIMRE/Databases/Projects Database/Projects/Brims Tidal Array",https://tethys.pnnl.gov/sites/default/files/publications/Brims-Tidal-Array-Scoping-2013.pdf,,"OpenHydro Group Ltd",Inactive,Tidal,Canceled,,"Not Grid Connected",60,Array,Canceled,"Open Centre Turbine",30,"Pentland Firth, Orkney, United Kingdom",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Brough Head",https://tethys.pnnl.gov/sites/default/files/publications/Brough-Head-Wave-Farm-Scoping-Report.pdf,,"Aquamarine Power",Inactive,Wave,Canceled,,,200,Array,Canceled,"Oyster 800",200,"Orkney coast",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Buka Passage Tidal Energy Project",https://www.mako.energy/buka,,"MAKO Tidal Turbines Pty Ltd MTT",Inactive,Tidal,Canceled,,"Grid Connected",0.015,"Single Device",Canceled,"MAKO Tidal Turbine",1,"Buka Passage","Constricted Channel","Papua New Guinea"
"PRIMRE/Databases/Projects Database/Projects/Burghead",https://awsocean.com/,,"AWS Ocean Energy Ltd",Inactive,Wave,Canceled,,"Grid Connected",159,Array,Canceled,"Archimedes Waveswing",,"Moray Firth, Scotland, United Kingdom",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/CalWave Scripps X1 Pilot",https://calwave.energy/calwave-successfully-concludes-historic-wave-energy-pilot-in-california/,,"CalWave Technologies",Inactive,Wave,2021,2022,"Grid Connected",0.001,"Single Device",Decommissioned,"CalWave Technologies xWave",1,"Pacific Ocean","Open Ocean","United States"
"PRIMRE/Databases/Projects Database/Projects/Canoe Pass",https://www.calameo.com/read/00067241961a82e9d63a1,,"New Energy Corporation",Inactive,Tidal,Canceled,,"Grid Connected",0.5,Array,Canceled,"EnCurrent Turbine",2,"Strait of Georgia, Canada","Constricted Channel",Canada
"PRIMRE/Databases/Projects Database/Projects/Cape Sharp Tidal Project",https://www.aecon.com/our-projects/recent/cape-sharp-tidal,,"OpenHydro Group Ltd",Inactive,Tidal,2014,2018,"Grid Connected",4,Array,Completed,"Open Centre Turbine",2,"Bay of Fundy, Nova Scotia","Enclosed Bay",Canada
"PRIMRE/Databases/Projects Database/Projects/Capul Tidal Energy Farm",https://www.sabella.bzh/en/our-projects/capul/,,"HWB Asia Pacific,Sabella",Inactive,Tidal,Canceled,,"Grid Connected",1.5,Array,Canceled,"Sabella D10",3,"San Bernardino Strait","Constricted Channel",Philippines
"PRIMRE/Databases/Projects Database/Projects/Cardiff Tidal Lagoon",https://infrastructure.planninginspectorate.gov.uk/projects/wales/tidal-lagoon-cardiff/,,"Tidal Lagoon Power",Inactive,Tidal,Canceled,,,3000,Array,Canceled,,100,"Severn Estuary, UK",River,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Chilla Canal",https://www.newenergycorp.ca/chilla-canal,,"New Energy Corporation",Inactive,Riverine,2011,,"Grid Connected",0.05,Array,Completed,,2,"Ganges River, India","Constricted Channel",India
"PRIMRE/Databases/Projects Database/Projects/Cobscook Bay Single TidGen Tidal Turbine Test",https://orpc.co/tidgen-power-system/,,"Ocean Renewable Power Company",Inactive,Tidal,2023,2023,"Not Grid Connected",0.12,Sub-scale,Completed,"TidGen Power System",1,"Cobscook Bay, Eastport and Lubec, Maine, United States","Enclosed Bay","United States"
"PRIMRE/Databases/Projects Database/Projects/Cobscook Bay Tidal Energy Pilot Project",https://orpc.co/storage/2022/02/2015-Environmental-Monitoring-Report.pdf,,"Ocean Renewable Power Company",Inactive,Tidal,2012,2013,"Grid Connected",0.06,"Single Device",Completed,"TidGen Power System",1,"Cobscook Bay, Maine, United States","Enclosed Bay","United States"
"PRIMRE/Databases/Projects Database/Projects/Costa Head Wave Farm",https://webarchive.nrscotland.gov.uk/3000/https://www.gov.scot/Topics/marine/Licensing/marine/scoping/costa,,"Costa Head Wave Farm Ltd",Inactive,Wave,Canceled,,"Not Grid Connected",200,Array,Canceled,AWS-III,4,"Costa Head, North of Mainland Orkney, United Kingdom",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Cozumel Ccell",https://www.power-technology.com/features/ccell-energy-save-coral/,,"CCell Renewables Ltd",Inactive,Wave,Canceled,,"Grid Connected",0.01,"Single Device",Canceled,"CCell WEC",1,"Cozumel, Gulf of Mexico","Enclosed Bay",Mexico
"PRIMRE/Databases/Projects Database/Projects/Crestwing Demonstration",https://crestwing.dk/english-2/,,Crestwing,Active,Wave,Canceled,,"Not Grid Connected",,"Single Device",Operational,Tordenskiold,1,"Kattegat Strait, Northern Denmark",Coastal,Denmark
"PRIMRE/Databases/Projects Database/Projects/Davao Energy Island Plant",http://www.energyisland.com/projects/philippines.html,,"Energy Island Ltd",Active,"Thermal Gradient",Planned,,"Grid Connected",50,"Single Device",Planned,,1,"Davao Gulf, Mindanao, Philippines","Enclosed Bay",Philippines
"PRIMRE/Databases/Projects Database/Projects/Dent Tidal Energy Project",https://www.nrcan.gc.ca/science-data/funding-partnerships/funding-opportunities/current-investments/water-wall-turbine-dent-island-tidal-power-generation-project/16690,,"Water Wall Turbine",Active,Tidal,2016,,"Grid Connected",0.5,"Single Device",Operational,WWTurbine,1,"Bute Inlet, British Columbia, Canada","Constricted Channel",Canada
"PRIMRE/Databases/Projects Database/Projects/Dragonfly II Tests on the Scheldt",https://water2energy.nl/tests-on-the-scheldt/,,Water2Energy,Inactive,Tidal,2014,2024,"Not Grid Connected",0.2,"Single Device",Completed,"Water2Energy VAWT",1,"River Scheldt, Belgium",River,Belgium
"PRIMRE/Databases/Projects Database/Projects/Duncan Dam",https://www.newenergycorp.ca/duncan-dam,,"New Energy Corporation",Inactive,Tidal,2008,2010,,0.1,Array,Completed,EnviroGen,4,"Duncan Dam, British Columbia",,Canada
"PRIMRE/Databases/Projects Database/Projects/EEL Energy Pilot",https://www.eel-energy.fr/en/eel-energy-defies-the-laws-of-physics/,,"EEL Energy",Active,Tidal,2022,,"Not Grid Connected",0.05,"Single Device",Operational,"EEL Energy Tidal Generator",1,"Harbor of Brest, Brittany","Enclosed Bay",France
"PRIMRE/Databases/Projects Database/Projects/Eagle",https://www.newenergycorp.ca/eagle,,"New Energy Corporation",Inactive,"Tidal,Riverine",2010,2010,"Not Grid Connected",0.025,"Single Device",Completed,EnviroGen,1,"Yukon River, Alaska",River,"United States"
"PRIMRE/Databases/Projects Database/Projects/East Foreland Tidal Project",https://orpc.co/,,"Ocean Renewable Power Company",Active,Tidal,Planned,,"Grid Connected",5,Array,Planned,"SAE SeaGen-S",,"Cook Inlet","Constricted Channel","United States"
"PRIMRE/Databases/Projects Database/Projects/Eco Wave Power Wave Energy Power Station Gibraltar",https://www.ecowavepower.com/gibraltar/,,"Eco Wave Power",Inactive,Wave,2016,2023,"Grid Connected",0.1,"Single Device",Completed,"Eco Wave Power Wave Clapper",1,"Ammunition Jetty, Straight of Gibraltar, Spain",Coastal,Spain
"PRIMRE/Databases/Projects Database/Projects/Eco Wave Power Wave Energy Power Station Jaffa",https://www.ecowavepower.com/israel/,,"Eco Wave Power",Active,Wave,2022,,"Grid Connected",0.1,"Single Device",Operational,"Eco Wave Power Wave Clapper",1,"Jaffa Port, Mediterranean Sea, Israel",Coastal,Israel
"PRIMRE/Databases/Projects Database/Projects/Energy Dike",https://redstack.nl/en/projecten/energiedijken/,,"REDStack BV",Inactive,"Salinity Gradient",2013,2015,,3,"Single Device",Completed,"RED-Stack Blue Energy",1,"North Sea",,Netherlands
