Name,Website,"Project Description","Project Manager","Project Status",Resource,"Start Year","End Year","Project Connectivity","Capacity MW","Project Scale","Project Life Cycle",Devices,"Number of Devices",Waterbody,"Site Characteristics",Country
"PRIMRE/Databases/Projects Database/Projects/3MW Lanzarote Wave Park",https://bomborawave.com/latest-news/project/3mw-lanzarote-wave-park/,,"Bombora Wave",Active,Wave,Planned,,"Grid Connected",3,"Single Device",Planned,"Bombora Wave mWave",1,"North side of Lanzarote",Coastal,Spain
"PRIMRE/Databases/Projects Database/Projects/AOE Sooke Basin Test",https://www.offshore-energy.biz/canada-aoes-test-buoy-captures-ocean-energy-in-sooke-basin/,,"Accumulated Ocean Energy Inc",Inactive,Wave,Canceled,,"Not Grid Connected",,"Single Device",Completed,"Pneumatic Wave Energy Converter pWEC",1,"Sooke Basin off of Strait of Juan de Fuca",,Canada
"PRIMRE/Databases/Projects Database/Projects/Admiralty Inlet",https://www.snopud.com/community-environment/our-energy-future/projects/research/tidal-energy/admiralty-inlet-final-license-application/,,"Snohomish County PUD No 1",Inactive,Tidal,2009,2015,"Grid Connected",1,Sub-scale,Canceled,"Open Centre Turbine",2,"Puget Sound - Admiralty Inlet","Constricted Channel","United States"
"PRIMRE/Databases/Projects Database/Projects/Advanced Archimedes Waveswing",https://www.waveenergyscotland.co.uk/programmes/details/novel-wave-energy-converter/advanced-archimedes-waveswing/,,"Wave Energy Scotland,AWS Ocean Energy Ltd,4c Engineering Consultancy,Quoceant",Active,Wave,2016,,,0.015,"Single Device",Planned,"Archimedes Waveswing",1,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Afsluitdijk T-1 Demonstration",https://www.tocardo.com/category/news/news-tidal/page/2/#:~:text=The%20Tocardo%20T-1%20turbine,,"Tocardo International BV",Inactive,"Ocean Current",2015,2019,"Grid Connected",0.3,Array,Decommissioned,"Tocardo International T1 Turbine",3,"Afsluitdijk Sluice","Enclosed Bay",Netherlands
"PRIMRE/Databases/Projects Database/Projects/Afsluitdijk T-1 Test",https://www.tocardo.com/tocardo-t1/,,"Tocardo International BV",Inactive,"Ocean Current",2008,2019,"Grid Connected",0.1,"Single Device",Decommissioned,"Tocardo International T1 Turbine",1,"Afsluitdijk Sluice","Enclosed Bay",Netherlands
"PRIMRE/Databases/Projects Database/Projects/Agulhas Current HAE",http://haeturbines.com/current/,,"Hydro Alternative Energy Inc",Inactive,"Ocean Current",Canceled,,"Grid Connected",,"Single Device",Canceled,,1,"Agulhas Current, eThekwini Municipality, South Africa",,"South Africa"
"PRIMRE/Databases/Projects Database/Projects/Albany Wave Energy Project AWEP",https://www.carnegiece.com/portfolio/ceto-6-albany-wa/,,"Carnegie Clean Energy",Inactive,Wave,2017,,,20,"Single Device",Completed,"CETO 6",1,"Indian Ocean, Albany, Western Australia","Open Ocean",Australia
"PRIMRE/Databases/Projects Database/Projects/AltaSea Eco Wave Power",https://www.ecowavepower.com/eco-wave-powers-innovative-wave-energy-pilot-is-on-way-to-altasea-at-the-port-of-los-angeles/,,"Eco Wave Power",Active,Wave,2022,,"Grid Connected",0.1,"Single Device",Planned,"Eco Wave Power Wave Clapper",1,"Port of Los Angeles, United States",Coastal,"United States"
"PRIMRE/Databases/Projects Database/Projects/Anaconda Novel WEC",https://www.waveenergyscotland.co.uk/programmes/details/novel-wave-energy-converter/anaconda-novel-wave-energy-converter/,,"Checkmate Seaenergy,Wave Energy Scotland,Tension Technology International,Quoceant,Black and Veatch",Inactive,Wave,2016,,"Grid Connected",,"Single Device",Completed,Anaconda,1,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Attenuator Cost of Energy Reduction",https://www.waveenergyscotland.co.uk/programmes/details/novel-wave-energy-converter/attenuator-cost-of-energy-reduction-acer/,,"Wave Energy Scotland,4c Engineering Consultancy,Sea Power Ltd,Offshore Subsea Consultancy Services",Inactive,Wave,2016,,,,"Single Device",Completed,Seapower,1,,,"United Kingdom"
